system,method,branch,valid_n,false_suppression_n,false_suppression_soft_n,false_suppression_hard_n,invalid_n,detected_n,detected_with_caveat_n,missed_failure_n,downgrade_n,downgrade_correct_n,downgrade_missed_n,downgrade_over_suppressed_n,not_applicable_n,detection_est,detection_lo,detection_hi,false_suppression_est,false_suppression_lo,false_suppression_hi,false_suppression_soft_est,false_suppression_soft_lo,false_suppression_soft_hi,false_suppression_hard_est,false_suppression_hard_lo,false_suppression_hard_hi,missed_failure_est,missed_failure_lo,missed_failure_hi,caveat_blindness_est,caveat_blindness_lo,caveat_blindness_hi
holdem,B4_unpaired,BRANCH_B,160,160,160,0,80,0,80,0,187,187,0,0,0,0.0,0.0,0.045818,1.0,0.976554,1.0,1.0,0.976554,1.0,0.0,0.0,0.023446,0.0,0.0,0.045818,0.0,0.0,0.020129
holdem,B4_unpaired,BRANCH_C,267,267,267,0,160,0,160,0,0,0,0,0,0,0.0,0.0,0.023446,1.0,0.985817,1.0,1.0,0.985817,1.0,0.0,0.0,0.014183,0.0,0.0,0.023446,,,
holdem,B4_unpaired,BRANCH_D,227,227,0,227,200,200,0,0,0,0,0,0,0,1.0,0.981155,1.0,1.0,0.983359,1.0,0.0,0.0,0.016641,1.0,0.983359,1.0,0.0,0.0,0.018845,,,
holdem,B4_unpaired,BRANCH_E,40,40,0,40,280,280,0,0,0,0,0,0,107,1.0,0.986466,1.0,1.0,0.912378,1.0,0.0,0.0,0.087622,1.0,0.912378,1.0,0.0,0.0,0.013534,,,
holdem,B5_cluster_hier,BRANCH_A,360,0,0,0,67,0,0,67,0,0,0,0,0,0.0,0.0,0.054226,0.0,0.0,0.010558,0.0,0.0,0.010558,0.0,0.0,0.010558,1.0,0.945774,1.0,,,
holdem,B5_cluster_hier,BRANCH_B,160,0,0,0,80,80,0,0,187,0,187,0,0,1.0,0.954182,1.0,0.0,0.0,0.023446,0.0,0.0,0.023446,0.0,0.0,0.023446,0.0,0.0,0.045818,1.0,0.979871,1.0
holdem,B5_cluster_hier,BRANCH_C,267,0,0,0,160,0,0,160,0,0,0,0,0,0.0,0.0,0.023446,0.0,0.0,0.014183,0.0,0.0,0.014183,0.0,0.0,0.014183,1.0,0.976554,1.0,,,
holdem,B5_cluster_hier,BRANCH_D,227,0,0,0,200,0,0,200,0,0,0,0,0,0.0,0.0,0.018845,0.0,0.0,0.016641,0.0,0.0,0.016641,0.0,0.0,0.016641,1.0,0.981155,1.0,,,
holdem,B5_cluster_hier,BRANCH_E,40,0,0,0,280,0,0,280,0,0,0,0,107,0.0,0.0,0.013534,0.0,0.0,0.087622,0.0,0.0,0.087622,0.0,0.0,0.087622,1.0,0.986466,1.0,,,
holdem,B6_event_keyed_wb,BRANCH_A,360,0,0,0,67,0,0,67,0,0,0,0,0,0.0,0.0,0.054226,0.0,0.0,0.010558,0.0,0.0,0.010558,0.0,0.0,0.010558,1.0,0.945774,1.0,,,
